,year,type,country,age,species_,fecha_limpia,fatal,sex,latitud,longitud,fatal_N,fatal_Unknown,fatal_Y,age_jovenes,age_adultos,age_ancianos,type.1,species_.1,fecha_limpia.1,age_n_manual,age_n_log,age_n_raiz,age_n_box,age_minmax
0,2018,Boating,usa,57,White shark,Jun,N,F,1,-100.445882,1,0,0,0,1,0,1,4,7,0.3469372489471676,4.04305126783455,7.54983443527075,9.116326681990241,0.6511627906976744
1,2018,Unprovoked,usa,11,Unespecific,Jun,N,F,1,-100.445882,1,0,0,1,0,0,7,3,7,-0.18794647198306494,2.3978952727983707,3.3166247903554,3.804859608483185,0.11627906976744187
2,2018,Invalid,usa,48,Unespecific,Jun,N,M,1,-100.445882,1,0,0,0,1,0,3,3,7,0.24228608615646996,3.871201010907891,6.928203230275509,8.40362856936233,0.5465116279069767
3,2018,Unprovoked,australia,27,Unespecific,Jun,N,M,0,134.755,1,0,0,1,0,0,7,3,7,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
4,2018,Provoked,mexico,27,Tiger shark,Jun,N,M,1,-102.0077097,1,0,0,1,0,0,4,2,7,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
5,2018,Unprovoked,australia,27,Unespecific,Jun,N,M,0,134.755,1,0,0,1,0,0,7,3,7,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
6,2018,Unprovoked,brazil,18,Tiger shark,Jun,Y,M,0,-53.2,0,0,1,1,0,0,7,2,7,-0.10655112314585563,2.8903717578961645,4.242640687119285,5.08038032862004,0.19767441860465115
7,2018,Unprovoked,usa,52,Lemon shark,May,N,M,1,-100.445882,1,0,0,0,1,0,7,1,9,0.2887977140634467,3.9512437185814275,7.211102550927978,8.730109485924778,0.5930232558139534
8,2018,Unprovoked,usa,15,Lemon shark,May,N,M,1,-100.445882,1,0,0,1,0,0,7,1,9,-0.1414348440760882,2.70805020110221,3.872983346207417,4.581659276135893,0.16279069767441862
9,2018,Unprovoked,usa,12,Unespecific,May,N,M,1,-100.445882,1,0,0,1,0,0,7,3,9,-0.17631856500632076,2.4849066497880004,3.4641016151377544,4.014118284080704,0.12790697674418605
